rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/entropy_loss,train/std,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/explained_variance,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_fraction
6.76,414,-0.07255194336175919,98304,1,237,,,,,,,,,,,
6.06,375,-0.06182689964771271,196608,2,523,-3.30051099875321,1.2594351768493652,0.2401522,-0.04843208193778992,0.2,0.1619103506382089,0.1944183111190796,490,0.0008665874285714286,0.003528695969362161,0.4468770345052083
4.66,360,-0.009212997741997242,294912,3,818,-3.358984699410697,1.2974638938903809,0.33855566,-0.05778169631958008,0.2,0.14238748735709425,0.6783505082130432,500,0.0007331748571428572,-0.005194901271594669,0.3707041422526042
3.3,354,0.023481840267777443,393216,4,1108,-3.408465330240627,1.328385591506958,0.0479996,-0.08220895379781723,0.2,0.12794860571351213,0.6160744428634644,510,0.0005997622857142856,-0.015385826972972912,0.32380879720052086
3.64,338,0.017208127304911613,491520,5,1453,-3.4379378175362945,1.3475687503814697,0.09646941,-0.07327039539813995,0.2,0.11424177187145687,0.6300815045833588,520,0.00046634971428571425,-0.019644271278472538,0.2704366048177083
3.42,283,0.011160874739289284,589824,6,2079,-3.463415716526409,1.3669806718826294,0.02618424,-0.07921402156352997,0.2,0.12043148279966166,0.5793852806091309,530,0.00033293714285714295,-0.02211856338180951,0.21463419596354166
3.24,276,0.04169939085841179,688128,7,2492,-3.475277977064252,1.3728306293487549,0.017759455,-0.10065767168998718,0.2,0.0801594026920308,0.4555777311325073,540,0.0001995245714285713,-0.02181836365768201,0.16392313639322917
4.62,291,0.00972564797848463,786432,8,2696,-3.487024006371697,1.3869943618774414,0.008060095,-0.0952700674533844,0.2,0.0849676419980824,0.6030279994010925,550,6.6112e-05,-0.015888853509932233,0.0700958251953125
13.42,303,-0.2694745659828186,884736,9,2911,-3.503450061939657,1.397143840789795,0.0070067444,-0.08242525160312653,0.2,0.07559232189766286,0.5490776300430298,560,5e-05,-0.014075274144064072,0.05865071614583333
2.92,313,0.02496177889406681,983040,10,3134,-3.5218992215270797,1.4105929136276245,0.0066504353,-0.06324437260627747,0.2,0.0805141701498845,0.6309339106082916,570,5e-05,-0.013432074273441685,0.054963175455729166
17.34,321,-0.33960625529289246,1081344,11,3365,-3.5399969900026917,1.4255423545837402,0.0071673705,-0.08068182319402695,0.2,0.09434827055471638,0.6366646885871887,580,5e-05,-0.014569716335366441,0.06074117024739583
