time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/value_loss,train/explained_variance,train/clip_range,train/loss,train/n_updates
1,85.11,49152,-2.6639833450317383,326,150,,,,,,,,,,,
2,85.11,98304,-2.6639833450317383,360,272,-3.6508981785426537,0.00029740597856289244,0.44731241861979165,0.0008708004571428572,1.4933807849884033,0.05660439,0.09373532498235969,0.6807891130447388,0.2,-0.08790033310651779,810
3,85.11,147456,-2.6639833450317383,376,391,-3.7254882232596476,0.0022730682446611655,0.27718912760416664,0.0007416009142857142,1.562455415725708,0.03412634,0.003235537142669879,0.953156016767025,0.2,-0.10251735150814056,820
4,85.11,196608,-2.6639833450317383,360,545,-3.7981471585730713,-0.0014043621928673626,0.21287841796875,0.0006124013714285713,1.6138827800750732,0.023016436,0.0018724775498715947,0.9769747126847506,0.2,-0.13760323822498322,830
5,85.11,245760,-2.6639833450317383,363,676,-3.8394151038179793,-0.0034856721317434373,0.152313232421875,0.00048320182857142853,1.6459274291992188,0.014799204,0.0008333056801347993,0.9846493443474174,0.2,-0.11376290768384933,840
6,85.11,294912,-2.6639833450317383,364,809,-3.8843811709433793,-0.004245180706129758,0.10301513671875,0.00035400228571428574,1.6958050727844238,0.009438084,0.0005725123264899897,0.9879699451848865,0.2,-0.14005134999752045,850
7,891.39,344064,-27.09930419921875,365,940,-3.9375808744380874,-0.0043058122076521,0.077239990234375,0.00022480274285714284,1.7407951354980469,0.008387591,0.0009340140296217215,0.9864475559443235,0.2,-0.12462373077869415,860
8,1836.86,393216,-55.85359191894531,363,1082,-3.9492876037955282,-0.01084514330420158,0.061171468098958334,9.560319999999995e-05,1.7372832298278809,0.0060314457,0.009810914956081737,0.954146008938551,0.2,-0.12497814744710922,870
9,2101.22,442368,-60.477149963378906,354,1249,-3.9571282611538967,-0.008926611439528642,0.05006103515625,8e-05,1.7505345344543457,0.0048488327,0.011815737740562327,0.9661388732492924,0.2,-0.12675361335277557,880
10,548.54,491520,-11.134973526000977,348,1410,-3.965776671220859,-0.011859126990748337,0.05400390625,8e-05,1.7546720504760742,0.0055315425,0.04517283854608346,0.9186816290020943,0.2,-0.10949642956256866,890
11,346.53,540672,-7.178631782531738,346,1561,-3.977388521408041,-0.011186571753205499,0.061346435546875,8e-05,1.7669870853424072,0.006725475,0.073903351475019,0.899806447327137,0.2,-0.11303573846817017,900
