time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,train/policy_gradient_loss,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate,train/n_updates,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/loss
556,88,49152,62.03,1,-1.6209394931793213,,,,,,,,,,,
512,191,98304,55.07,2,-1.222637414932251,-0.01181262276392469,0.2211301790821987,0.2,0.19697070121765137,0.00046699794285714287,220,0.231951904296875,-3.0413383840272825,1.1016411781311035,0.022741616,-0.033907629549503326
482,305,147456,41.46,3,-1.0011173486709595,-0.015060128139157313,0.17999101153885325,0.2,0.21940261125564575,0.0004339958857142857,230,0.21536458333333333,-3.0444338879237574,1.10184645652771,0.021286285,0.00920211523771286
474,414,196608,91.36,4,-2.6974377632141113,-0.01619775796328516,0.19766719254742687,0.2,0.2489117980003357,0.0004009938285714286,240,0.202545166015625,-3.0370989521344502,1.0969862937927246,0.019855246,-0.020580746233463287
471,521,245760,50.55,5,-1.0506385564804077,-0.017061694309086307,0.19912419509685908,0.2,0.29554760456085205,0.00036799177142857143,250,0.19029947916666667,-3.0415121684471766,1.1028790473937988,0.019022899,-0.0191514790058136
470,627,294912,79.11,6,-2.1334614753723145,-0.01864495780003684,0.21873993265908212,0.2,0.31305766105651855,0.0003349897142857143,260,0.18083292643229168,-3.044258379812042,1.1024203300476074,0.018228514,-0.003089204430580139
468,734,344064,42.64,7,-1.0132695436477661,-0.018002771620498,0.16074825464359796,0.2,0.34715473651885986,0.00030198765714285715,270,0.18440755208333334,-3.0428197760134936,1.099586009979248,0.018376032,-0.03645159304141998
465,845,393216,39.12,8,-0.8706414103507996,-0.02002629838231466,0.23592489910467218,0.2,0.3133452534675598,0.0002689856,280,0.16890665690104167,-3.030198749154806,1.0952823162078857,0.016465314,0.0012179911136627197
463,954,442368,46.29,9,-0.9654061198234558,-0.020324919683965468,0.20180699968865762,0.2,0.2984623908996582,0.00023598354285714286,290,0.1628662109375,-3.0215487357228996,1.0899544954299927,0.015971707,-0.008325129747390747
460,1067,491520,66.38,10,-1.5389000177383423,-0.020197855775283338,0.21307327203297366,0.2,0.37437766790390015,0.00020298148571428571,300,0.15423380533854167,-3.0167620475093524,1.0866522789001465,0.014836871,-0.008060924708843231
459,1177,540672,42.81,11,-0.9327833652496338,-0.020065810203474636,0.20731558255696048,0.2,0.3423769474029541,0.00016997942857142857,310,0.140911865234375,-3.010468335946401,1.083935260772705,0.01369514,-0.0023976340889930725
457,1289,589824,72.2,12,-1.7744531631469727,-0.019183069534240833,0.2188746003123621,0.2,0.25289785861968994,0.00013697737142857137,320,0.11765340169270834,-3.009063336501519,1.0850961208343506,0.011217576,-0.02059190720319748
456,1400,638976,114.69,13,-3.0289254188537598,-0.017541903263918357,0.1940275411043937,0.2,0.2741451859474182,0.00010397531428571428,330,0.10192667643229167,-3.000317762667934,1.079756259918213,0.010160849,-0.0284554585814476
457,1504,688128,59.53,14,-1.5160139799118042,-0.015595423803824815,0.21542059087660165,0.2,0.29215574264526367,7.097325714285714e-05,340,0.07956746419270834,-2.9978717910746733,1.0797566175460815,0.008222477,-0.016798049211502075
456,1614,737280,33.23,15,-0.7979769706726074,-0.012460989709749508,0.21805290069120625,0.2,0.29112106561660767,3.797120000000005e-05,350,0.050982666015625,-2.9983398077388603,1.0836138725280762,0.0059318654,-0.008418306708335876
454,1730,786432,57.26,16,-1.234131097793579,-0.011076859542905973,0.252024343648615,0.2,0.26295989751815796,3e-05,360,0.04007568359375,-3.0013630341738464,1.0848166942596436,0.0053185797,0.021678276360034943
453,1843,835584,62.23,17,-1.4046409130096436,-0.011220448204888574,0.20195230212217818,0.2,0.3228576183319092,3e-05,370,0.040171305338541664,-3.006585469345252,1.08795166015625,0.0052269497,-0.0034981071949005127
451,1958,884736,28.18,18,-0.5594779849052429,-0.010612427699500888,0.19994112280352663,0.2,0.35194480419158936,3e-05,380,0.041162109375,-3.013607178380092,1.0925145149230957,0.005396387,-0.017637968063354492
447,2087,933888,31.29,19,-0.6451664566993713,-0.010932034171855776,0.2066946949576959,0.2,0.2984406352043152,3e-05,390,0.04035237630208333,-3.0197620440274475,1.0947860479354858,0.005182399,0.014284200966358185
445,2204,983040,81.37,20,-1.975905418395996,-0.010906650128769494,0.23473667195842912,0.2,0.27639371156692505,3e-05,400,0.04148152669270833,-3.0248510517179965,1.0981724262237549,0.0052359626,0.032274410128593445
445,2318,1032192,55.04,21,-1.305483341217041,-0.011503432350097379,0.22017181966609012,0.2,0.28538745641708374,3e-05,410,0.043365478515625,-3.025012729689479,1.0957119464874268,0.0054459623,0.02744288742542267
