epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.02442,1.16537,15.5795,1.16866,0.94912,1,0.995,0.79656,0.85902,6.0937,0.94478,0.00026,0.00026,0.00026
2,11.0309,0.92018,4.21633,0.9788,0.94587,0.33333,0.46859,0.40801,0.91704,8.66586,1.00099,0.000529308,0.000529308,0.000529308
3,14.8984,1.04693,2.45477,1.07684,0.97895,0.66667,0.83,0.50848,1.34318,4.321,1.20606,0.000787528,0.000787528,0.000787528
4,18.6274,1.15661,1.98622,1.14857,0.93234,0.66667,0.66651,0.46649,1.62336,3.29185,1.58951,0.00103466,0.00103466,0.00103466
5,22.4023,1.11546,1.46356,1.14478,0.01239,0.33333,0.00615,0.00062,3.29382,12.4976,17.9792,0.0012707,0.0012707,0.0012707
6,26.1507,1.15385,1.40046,1.11454,0.00102,0.33333,0.00071,7e-05,4.48173,2563.74,64.2473,0.00149566,0.00149566,0.00149566
7,29.7004,1.11069,1.30689,1.19416,0.00173,0.33333,0.0022,0.00066,3.7847,51.3827,9.25501,0.00170953,0.00170953,0.00170953
8,33.3055,1.14703,1.08562,1.13262,0.00098,0.33333,0.00067,0.00033,4.17643,1655.27,10.3609,0.0017228,0.0017228,0.0017228
9,36.8413,1.09897,1.16018,1.13135,0.00213,0.33333,0.00172,0.00122,2.79162,289.69,2.84438,0.0016832,0.0016832,0.0016832
10,40.5967,1.09181,1.01146,1.14383,0.03205,0.66667,0.02737,0.01386,2.06839,34.5724,2.57488,0.0016436,0.0016436,0.0016436
11,44.2183,1.13112,0.95727,1.13038,0.00612,0.33333,0.00411,0.00104,2.2396,120.987,3.30394,0.001604,0.001604,0.001604
12,47.8109,1.15374,0.99999,1.17358,0.02187,1,0.0235,0.01245,1.55441,61.3413,1.71459,0.0015644,0.0015644,0.0015644
13,51.3356,1.10464,0.93378,1.10468,0.0176,0.66667,0.02337,0.01577,0.96083,47.3021,1.15701,0.0015248,0.0015248,0.0015248
14,54.9416,1.00791,0.87999,1.11536,0.12473,0.66667,0.188,0.13538,1.23149,5.61252,1.15958,0.0014852,0.0014852,0.0014852
15,58.4811,0.96784,0.83318,1.09587,0.28295,0.66667,0.764,0.61817,1.04933,7.53246,1.16226,0.0014456,0.0014456,0.0014456
16,62.0656,1.04377,0.84768,1.09252,1,0.93991,0.995,0.66601,1.08799,1.60696,1.13038,0.001406,0.001406,0.001406
17,65.6233,0.93784,0.75156,1.04049,0.7331,0.93239,0.9125,0.61841,1.17142,1.17241,1.19599,0.0013664,0.0013664,0.0013664
18,69.2379,0.82707,0.70012,0.98788,1,0.97387,0.995,0.73044,1.0507,0.66377,1.14635,0.0013268,0.0013268,0.0013268
19,72.8953,0.86362,0.72127,1.0163,0.73721,1,0.995,0.76548,0.70926,0.81129,0.96299,0.0012872,0.0012872,0.0012872
20,76.5306,0.91195,0.70384,1.08111,0.70565,1,0.9125,0.69909,0.90312,0.68449,1.1222,0.0012476,0.0012476,0.0012476
21,80.159,0.95039,0.72577,1.06311,0.74395,0.97579,0.83,0.64817,0.77501,0.81402,1.02783,0.001208,0.001208,0.001208
22,83.9422,0.89658,0.69306,1.02898,0.98356,1,0.995,0.82846,0.81005,0.69239,1.14685,0.0011684,0.0011684,0.0011684
23,87.5558,0.8321,0.66522,0.97125,0.97416,1,0.995,0.80844,0.88344,0.74452,1.28474,0.0011288,0.0011288,0.0011288
24,91.1009,0.81149,0.64406,0.99484,0.94303,1,0.995,0.86315,0.8099,1.00949,0.98302,0.0010892,0.0010892,0.0010892
25,94.7674,0.74827,0.59397,0.97829,0.97229,1,0.995,0.80849,0.69485,0.71087,0.95679,0.0010496,0.0010496,0.0010496
26,98.4566,0.78932,0.63138,0.99125,0.98323,1,0.995,0.81375,0.70353,0.56134,0.95754,0.00101,0.00101,0.00101
27,102.214,0.77234,0.61044,0.97669,0.96518,1,0.995,0.64876,0.99835,1.29447,1.08503,0.0009704,0.0009704,0.0009704
28,106.03,0.73785,0.57603,0.97742,0.98043,1,0.995,0.76529,0.83253,0.68413,1.06199,0.0009308,0.0009308,0.0009308
29,109.636,0.73396,0.54573,0.95612,0.74289,0.97155,0.9125,0.79803,0.72772,1.09021,0.99756,0.0008912,0.0008912,0.0008912
30,113.248,0.71737,0.54441,0.95237,0.98853,1,0.995,0.7989,0.98581,0.76794,1.18933,0.0008516,0.0008516,0.0008516
31,116.844,0.69121,0.55072,0.94353,1,0.98214,0.995,0.77319,0.68461,0.72692,1.00848,0.000812,0.000812,0.000812
32,120.492,0.66962,0.52389,0.91578,1,0.96011,0.995,0.92983,0.67957,0.64636,0.92949,0.0007724,0.0007724,0.0007724
33,124.19,0.66087,0.51671,0.90573,0.97195,1,0.995,0.89971,0.56572,0.56412,0.90467,0.0007328,0.0007328,0.0007328
34,127.819,0.65887,0.49876,0.91358,0.98467,1,0.995,0.8955,0.62682,0.4565,0.91893,0.0006932,0.0006932,0.0006932
35,131.353,0.64083,0.4958,0.92514,0.98321,1,0.995,0.8653,0.65092,0.43651,0.91288,0.0006536,0.0006536,0.0006536
36,134.874,0.6203,0.47153,0.92675,0.9774,1,0.995,0.86731,0.72303,0.59283,0.95115,0.000614,0.000614,0.000614
37,138.522,0.55235,0.45436,0.911,0.98792,1,0.995,0.83318,0.74684,0.54972,0.97578,0.0005744,0.0005744,0.0005744
38,142.258,0.63506,0.52035,0.9261,0.95698,1,0.995,0.83613,0.79928,0.50682,0.99956,0.0005348,0.0005348,0.0005348
39,145.936,0.57515,0.44853,0.89794,0.98486,1,0.995,0.81607,0.77931,0.47666,0.9901,0.0004952,0.0004952,0.0004952
40,149.618,0.60218,0.44818,0.91541,0.98468,1,0.995,0.83171,0.71249,0.54664,0.97557,0.0004556,0.0004556,0.0004556
41,193,0.5122,0.41701,0.87005,0.97811,1,0.995,0.83282,0.72212,0.53367,0.97297,0.000416,0.000416,0.000416
42,196.849,0.52787,0.41462,0.85514,0.98415,1,0.995,0.81938,0.71939,0.49731,0.96723,0.0003764,0.0003764,0.0003764
43,200.654,0.51126,0.39842,0.84495,0.9883,1,0.995,0.84707,0.65087,0.50204,0.92637,0.0003368,0.0003368,0.0003368
44,204.269,0.51586,0.38635,0.8186,0.98675,1,0.995,0.8955,0.5584,0.4225,0.90027,0.0002972,0.0002972,0.0002972
45,207.76,0.4779,0.36718,0.83618,0.98614,1,0.995,0.85571,0.53898,0.40482,0.89513,0.0002576,0.0002576,0.0002576
46,211.422,0.48618,0.36846,0.8184,0.98575,1,0.995,0.85524,0.55794,0.38478,0.90191,0.000218,0.000218,0.000218
47,214.915,0.46146,0.35238,0.84256,0.98589,1,0.995,0.86731,0.54372,0.38192,0.90544,0.0001784,0.0001784,0.0001784
48,218.475,0.46906,0.36002,0.83433,0.98388,1,0.995,0.8955,0.51855,0.37383,0.89667,0.0001388,0.0001388,0.0001388
49,222.002,0.46576,0.34919,0.82356,0.98085,1,0.995,0.8955,0.52711,0.37483,0.89989,9.92e-05,9.92e-05,9.92e-05
50,225.604,0.43712,0.3416,0.84425,0.97838,1,0.995,0.8955,0.54576,0.41399,0.91025,5.96e-05,5.96e-05,5.96e-05
