epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.17489,0.98705,4.46732,0.98536,0.0025,1,0.995,0.83778,0.58174,3.30385,0.80491,0.00026,0.00026,0.00026
2,7.1088,0.94093,2.98066,0.94993,0.0025,1,0.55746,0.33823,0.95682,3.66129,0.98385,0.000529308,0.000529308,0.000529308
3,9.9102,0.94081,2.95086,0.963,0.0025,1,0.50226,0.35998,0.8473,3.5854,0.95789,0.000787528,0.000787528,0.000787528
4,12.6136,0.97269,2.80601,0.99888,0.33634,0.66667,0.66723,0.5002,0.86114,3.31255,0.98941,0.00103466,0.00103466,0.00103466
5,15.3211,0.9889,2.47026,1.01263,0.00564,1,0.66686,0.50082,0.91371,3.36329,0.97362,0.0012707,0.0012707,0.0012707
6,17.9436,1.07395,2.4625,1.04956,0.73861,0.33333,0.4725,0.14547,1.20636,3.4015,1.30061,0.00149566,0.00149566,0.00149566
7,20.5243,1.03314,2.15876,1.05854,0.47547,0.66667,0.51678,0.27946,1.24121,3.06344,1.09345,0.00170953,0.00170953,0.00170953
8,23.2098,0.97642,2.13743,1.00041,0.45521,0.57708,0.50235,0.33672,1.48842,6.54377,1.50716,0.0017228,0.0017228,0.0017228
9,25.7848,1.0361,2.02685,1.02552,0.64298,0.66667,0.67875,0.58618,0.97725,4.01396,1.01424,0.0016832,0.0016832,0.0016832
10,28.3751,1.02214,1.90847,1.07591,0.3031,0.33333,0.37103,0.20021,0.85015,9.26423,1.01156,0.0016436,0.0016436,0.0016436
11,30.8968,0.90752,1.72846,1.00444,0.28156,0.33333,0.27654,0.08904,1.29732,11.0385,1.82554,0.001604,0.001604,0.001604
12,33.6748,0.89473,1.55069,0.98155,0.32214,0.66667,0.22195,0.18317,1.50676,2.98375,1.89905,0.0015644,0.0015644,0.0015644
13,36.2157,0.89381,1.467,0.98247,0.58926,1,0.64133,0.4106,1.15302,1.84206,1.2998,0.0015248,0.0015248,0.0015248
