epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.03205,1.07722,12.8685,1.18955,0.47746,0.33333,0.36294,0.32614,0.53344,7.44118,0.91453,0.00016,0.00016,0.00016
2,12.0614,1.03222,6.9425,1.13595,0.6349,0.66667,0.60833,0.42021,1.12364,6.77731,1.06107,0.000333268,0.000333268,0.000333268
3,16.1586,1.03071,3.29242,1.03746,0.89717,0.33333,0.38843,0.32183,1.23767,5.741,1.13008,0.000499408,0.000499408,0.000499408
4,20.1285,1.02405,2.35739,1.05245,0.02873,0.66667,0.05332,0.02757,1.38963,5.53691,1.11954,0.00065842,0.00065842,0.00065842
5,23.9325,1.12668,1.70513,1.11393,0.01809,1,0.01951,0.0135,1.20456,80.1852,1.32858,0.000810304,0.000810304,0.000810304
6,27.7412,1.13838,1.82947,1.10222,0.04503,0.33333,0.01978,0.01336,1.32943,18.328,1.8169,0.00095506,0.00095506,0.00095506
7,31.2918,1.17207,1.56904,1.13381,0.4022,0.33333,0.35211,0.24696,1.60073,15.6159,1.83863,0.00109269,0.00109269,0.00109269
8,34.8006,1.1168,1.22688,1.12793,0.43964,0.66667,0.51,0.22218,2.51669,6.14934,1.81081,0.00122319,0.00122319,0.00122319
9,38.5368,1.15353,1.13693,1.13448,0.05255,0.33333,0.03969,0.0262,1.4808,9.30446,1.34066,0.00134656,0.00134656,0.00134656
10,42.2604,1.142,1.11604,1.17157,0.3243,0.33333,0.23585,0.16269,1.34047,6.7443,1.23948,0.0014628,0.0014628,0.0014628
11,45.8306,1.17335,1.17309,1.15411,1,0.72133,0.995,0.65256,1.45938,10.046,1.32391,0.00157192,0.00157192,0.00157192
12,49.4825,1.18525,0.94926,1.19188,0.00744,0.66667,0.00718,0.00389,1.29992,107.876,2.51908,0.0015644,0.0015644,0.0015644
13,53.0525,1.16542,1.00652,1.18731,0.0226,0.33333,0.01803,0.0123,1.70059,31.8007,2.87839,0.0015248,0.0015248,0.0015248
14,56.6803,1.16906,0.98773,1.16823,0.02823,0.66667,0.02789,0.01201,1.68479,41.022,1.47401,0.0014852,0.0014852,0.0014852
