time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/entropy_loss,train/loss,train/clip_range,train/n_updates,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/learning_rate
1,-3.0020272731781006,127,49152,384,110.44,,,,,,,,,,,
2,-7.0326738357543945,274,98304,357,237.91,0.18740641276041667,1.4375805854797363,-3.5756643880158663,-0.11160795390605927,0.2,600,0.0531647332701444,0.01825918,0.6019473075866699,-0.019626064952656938,0.00028244571428571427
3,-0.6345574855804443,430,147456,342,34.7,0.179693603515625,1.4360177516937256,-3.5678295334180197,-0.11701114475727081,0.2,610,0.07732906707872947,0.018378718,0.6579485237598419,-0.020326215324166695,0.00026489142857142857
4,-0.986583411693573,598,196608,328,52.7,0.17411905924479168,1.4262073040008545,-3.561820447941621,-0.09436705708503723,0.2,620,0.09584532476534756,0.018902374,0.6498570740222931,-0.023037294424284482,0.0002473371428571428
5,-0.8441832661628723,760,245760,323,41.23,0.15490519205729167,1.415525197982788,-3.5468615631262463,-0.05711700767278671,0.2,630,0.15673582340823486,0.016738482,0.6642920672893524,-0.022677812556139543,0.00022978285714285712
6,-1.2473843097686768,925,294912,318,59.52,0.16396077473958334,1.4154894351959229,-3.5392331888278323,-0.05866403877735138,0.2,640,0.14300721450708806,0.016889067,0.65397909283638,-0.022278133955599817,0.00021222857142857141
7,-7.7239227294921875,1102,344064,312,272.04,0.152813720703125,1.40501070022583,-3.531257964298129,-0.047984495759010315,0.2,650,0.17745806428138167,0.016343465,0.5798141360282898,-0.023332252111868002,0.00019467428571428569
8,-1.8353747129440308,1276,393216,308,66.91,0.14114786783854166,1.4030585289001465,-3.524718805278341,-0.01801396906375885,0.2,660,0.21144445543953527,0.014653727,0.5973101556301117,-0.02322655336247408,0.00017712
9,-0.9520437121391296,1442,442368,306,45.53,0.13723958333333333,1.4019768238067627,-3.5223743454863627,-0.053130924701690674,0.2,670,0.16208015382677937,0.0144339055,0.6019043922424316,-0.022780047953225826,0.00015956571428571428
10,-0.3842683434486389,1615,491520,304,25.78,0.124969482421875,1.4015529155731201,-3.520175528153777,-0.0822421982884407,0.2,680,0.07882024984185894,0.013271615,0.6514769196510315,-0.02074296381615568,0.00014201142857142858
11,-0.2714432179927826,1794,540672,301,23.11,0.11628621419270833,1.4056487083435059,-3.522127187624574,-0.10020332783460617,0.2,690,0.061041753537332016,0.01220267,0.7897250950336456,-0.019827478934651786,0.00012445714285714288
12,-0.19522276520729065,1977,589824,298,19.39,0.106402587890625,1.4007139205932617,-3.522451833511392,-0.03203148394823074,0.2,700,0.178206078762499,0.010999191,0.6624147295951843,-0.020460300089325756,0.00010690285714285713
13,-0.529715895652771,2156,638976,296,32.32,0.09378662109375,1.399226188659668,-3.5169532246887685,-0.009198352694511414,0.2,710,0.2656447634954626,0.010215863,0.6718693375587463,-0.019316028974571964,8.934857142857145e-05
14,-0.8649929165840149,2323,688128,296,46.57,0.08609212239583333,1.4025647640228271,-3.51886822655797,0.002209991216659546,0.2,720,0.24477893905714154,0.0092861755,0.6055373847484589,-0.01870092653067938,7.179428571428572e-05
15,-0.957573652267456,2481,737280,297,51.44,0.06900634765625,1.4036781787872314,-3.5198550219337146,-0.024764448404312134,0.2,730,0.18820726497797297,0.007893483,0.6395621597766876,-0.01696698260081272,5.4239999999999996e-05
16,-1.200785517692566,2640,786432,297,59.39,0.06969401041666666,1.4025020599365234,-3.5191186829159657,-0.05464670807123184,0.2,740,0.17353774474856135,0.0078235725,0.6285448670387268,-0.0160259455832905,5e-05
17,-0.616841197013855,2798,835584,298,34.74,0.060931396484375,1.401071310043335,-3.518191807096203,-0.04724506288766861,0.2,750,0.17474531536766638,0.007068653,0.7131785452365875,-0.0157246863321537,5e-05
18,-0.5369250178337097,2951,884736,299,34.63,0.058258056640625,1.4060977697372437,-3.521908365438382,-0.015230230987071991,0.2,760,0.2007291520945728,0.006779887,0.7577326595783234,-0.015049681829259498,5e-05
19,-2.5406532287597656,3114,933888,299,131.93,0.062384033203125,1.4106963872909546,-3.5271455377340315,-0.07062426209449768,0.2,770,0.12803788773405056,0.007263707,0.7080713212490082,-0.015951269396706873,5e-05
20,-0.4703802168369293,3267,983040,300,31.97,0.06256103515625,1.4084172248840332,-3.5285501399387917,0.011437758803367615,0.2,780,0.23170566726475955,0.0075130127,0.6100706160068512,-0.016125753242279946,5e-05
21,-0.42587921023368835,3434,1032192,300,30.38,0.06378580729166666,1.411428689956665,-3.5295614461104075,-0.0107957124710083,0.2,790,0.2409280530254667,0.007618693,0.6202058792114258,-0.016616219048106964,5e-05
